ID,名人姓名,名人国籍,性别,发表地区,发表形式,事发日期,道歉时间,道歉原因,道歉原因归类,主要道歉对象,道歉对象所在地区,道歉人职业领域,发布平台,,全文 繁体,全文 简体,链接,,,,,
148,蔡徐坤,中国大陆,男,中国大陆,文字,6/26/2023,7/3/2023,一夜情致女方堕胎,,,,歌手 演员,微博,,"大家好，我是蔡徐坤。近日網路上有許多關於我的話題，很抱歉因此佔用了大家的時間與關注。兩年前我處於單身狀態，與C女士有過交往，雙方之間的私事已經在2021年妥善解決，彼此沒有進一步的糾葛。

需要在此向大家和媒體澄清的是 ，我和C女士的交往均屬雙方自願，既不存在“女方為未成年”的情況，也不存在所謂的“強制墮胎”，不涉及違法行為。懇請相關自媒體不傳謠、不信謠。這個教訓對我來說是慘痛的，這兩年的時間裡，我也在自責和懊悔中。再次向一直支持信任我的歌迷道歉，向一直關注我發展與成長的媒體朋友道歉。今後，我會嚴格約束自己的言行，接受大眾和社會監督。也請大家尊重並保護當事人特別是C女士的個人隱私。","大家好，我是蔡徐坤。近日网络上出现关于我的诸多话题，很抱歉因此占用了大家的时间与关注。两年前我处于单身状态，与C女士有过交往，双方之间的私事已经在2021年妥善解决，彼此没有进一步的纠葛。

需要在此向大家和媒体澄清的是 ，我和C女士的交往均属双方自愿，既不存在“女方为未成年”的情况，也不存在所谓的“强制堕胎”，不涉及违法行为。恳请相关自媒体不传谣、不信谣。这个教训对我来说是惨痛的，这两年的时间里，我也在自责和懊悔中。再次向一直支持信任我的歌迷们道歉，向一直关注我发展与成长的媒体朋友们道歉。今后，我会严格约束自己的言行，接受大众和社会监督。也请大家尊重和保护当事人特别是C女士的个人隐私。",https://yule.sohu.com/a/693748473_120952561,,,,,
149,李佳琦,中国大陆,男,中国大陆,文字,9/9/2023,9/11/2023,不当言论怼网友,,,,网红,微博,,"今天沒有用「所有女生」開頭，因為李佳琦讓大家失望了，在看這條微博的所有人，對不起。

我剛結束今天的工作，昨天我在直播間回應產品評論時，說了些不恰當、讓大家不舒服的話。今天工作的時候我也一直在反思，在回想，如果我是評論裡的那位女生，會多失望啊。

我本來就是一個彩妝櫃檯銷售員，深知大家的工作都是辛苦和不容易的。我說的話辜負了你們的期望，真的很抱歉。之所以沒有立刻回應，是我想結束工作後認真地向評論裡的那位女生道歉，任何人都可以對直播間的產品提出意見和想法。我身為主播應該一直帶給大家正向的正能量，並學會控制情緒。

一路走來，我知道大家的信任才是直播間最重要的基礎。我也希望一直保持最好的狀態陪伴大家，我會認真傾聽大家的建議，用心服務所有的消費者。

再次說聲對不起，誠懇接受大家的批評。","今天没有用“所有女生”开头，因为李佳琦让大家失望了，在看这条微博的所有人，对不起。

我刚刚结束今天的工作，昨天我在直播间回应产品评论时，说了些不恰当、让大家不舒服的话。今天工作的时候我也一直在反思，在回想，如果我是评论里的那位女生，会多失望啊。

我本就是一个彩妆柜台销售员，深知大家的工作都是辛苦和不容易的。我说的话辜负了你们的期望，真的很抱歉。之所以没有立马回应，是我想结束工作后认真地向评论里的那位女生道歉，任何人都可以对直播间的产品提出意见和想法。我作为主播应该一直带给大家积极的正能量，并学会控制情绪。

一路走来，我知道大家的信任才是直播间最重要的基础。我也希望一直保持最好的状态陪伴大家，我会认真倾听大家的建议，用心服务好所有的消费者。

再次说声对不起，诚恳接受大家的批评。",https://news.cqnews.net/1/detail/1150735245330010112/web/content_1150735245330010112.html,,,,,
150,李佳琦,中国大陆,男,中国大陆,视频,9/9/2023,9/11/2023,不当言论怼网友,,,,网红,微博,,"我是李佳琦。今天在直播間鄭重的跟大家說一句對不起。因為前兩天，我在直播間回應了一位女生對產品的評論，我說的話非常不合適，讓大家失望了。我不應該也沒有資格站在個人的角度，隨意的去評論任何一個網友。我承認這種不恰當的表達是對他人的不尊重。任何人都有在直播間提出產品以及建議以及想法的權利。而我身為主播，也一定要尊重大家的表達的權利。
我之前也說過，李佳琦身上的羽毛，都是所有女生一片一片給我的。是所有女生的支持和信任，讓我一步步走到了現在，有了現在的李佳琦直播間。無論什麼時候，我都不該忘記我來自哪裡，也不該迷失自己。這兩天我一直在反省，也看到了大家在網路上的討論。對不起我讓大家失望。
對於我的言論不當，我誠懇的接受大家一切的批評與建議。我會靜下心來，深刻反思。我會想清楚，當時為什麼要出發，要怎麼做才能服務更多的女生。所以在此感謝大家對我的批評與監督。","我是李佳琦。今天在直播间郑重的跟大家说一句对不起。因为前两天，我在直播间里回应了一位女生对产品的评论，我说的话非常不合适，让大家失望了。我不应该也没有资格站在个人的角度，随意的去评论任何一个网友。我认识到这种不恰当的表达是对他人的不尊重。任何人都有在直播间提出产品以及建议以及想法的权利。而我作为主播，也一定要尊重大家的表达的权利。
我之前也说过，李佳琦身上的羽毛，都是所有女生一片一片赋予我的。是所有女生的支持和信任，让我一步步走到了现在，有了现在的李佳琦直播间。无论什么时候，我都不应该忘记我来自哪里，也不应该迷失自己。这两天我一直在反省，也看到了大家在网上的讨论。对不起我让大家失望。
对于我的言论不当，我诚恳的接受大家一切的批评和建议。我会静下心来，深刻反思。我会想清楚，当时为什么要出发，要怎么做才能服务好更多的女生。所以在此感谢大家对我的批评和监督。",https://www.youtube.com/watch?v=xJGyxRo2qvI,,,,,
151,铁头,中国大陆,男,中国大陆,视频 文字,10/9/2023,11/4/2023,不当言论,,东方甄选 董宇辉,,网红,抖音,,"大家好我是鐵頭懲惡揚善，很鄭重的、正式的在這裡給東方甄選和董宇輝道歉。我在10月9號直播時聲稱：「故事是要錢的，你那份產品50塊，那個故事可能就要40塊。過期的毒雞湯，聽完以後覺得你提升了文化，毛都不是。
另外，東方甄選官網再今年3月31日聲明，“網友購買的野生大蝦，統一按法律法規進行賠付（退一賠三），聯繫客服即可，並且長期有效”，在此為東方甄選豎大拇指。","大家好我是铁头惩恶扬善，很郑重的、正式的在这里给东方甄选和董宇辉道歉。我在10月9号直播时声称：“故事是要钱的，你那份产品50块钱，那个故事可能就要40块钱。过期的毒鸡汤，听完以后觉得你提升了文化，毛都不是。”对以上言论，我非常的后悔和自责，我今后会自我反省，不会再做同样出格、不好的这些事情，希望网友及自我一起监督。
另外，东方甄选官网再今年3月31日声明，“网友购买的野生大虾，统一按法律法规进行赔付（退一赔三），联系客服即可，并且长期有效”，在此为东方甄选竖大拇指。",https://www.thepaper.cn/newsDetail_forward_25189119,,,,,
152,苏小玎,中国大陆,男,中国大陆,文字,11/14/2023,11/15/2023,随地小便,,,,演员,微博,,誠懇道歉，有錯必改。我的行為帶給大眾不良的影響，向大家道歉！對不起！感謝大家的批評和指正，我會深刻反思，今後嚴格規範自己的行為！再次向大家誠懇道歉！,诚恳道歉，有错必改。我的行为给公众带来不良的影响，向大家道歉！对不起！感谢大家的批评和指正，我会深刻反思，今后严格规范自己的行为！再次向大家诚恳道歉！,https://www.sohu.com/a/736539301_121347613#google_vignette,,,,,
153,杜旭东,中国大陆,男,中国大陆,视频,NA,11/17/2023,为缅北犯罪分子祝寿,,,,演员,抖音,,"大家好，我是杜旭東。最近網友們在白某的慶生影片中看到了我的祝福片段。事情源自於很久之前的朋友之託。當時礙於情面，便配合錄製了這個視頻，我也沒有查證此人的身份背景。對此我深感自責。我接受網友們的批評和指正。我已經深刻的體認到這種行為懟社會帶來了不良的影響。這種失察的錯誤，辜負了廣大觀眾好友懟我的愛與信任。我與所有人一樣，非常的痛恨且強烈抵制棉被電信詐騙集團的這種非法的行為。
今後，我定將以此為戒，嚴於律己，約束自己的言行舉止，繼續做一個敬職敬責的好演員。並願意為國家反詐宣傳貢獻自己的綿薄之力。請廣大網友及觀眾朋友們監督。
最後，再次為我的不當言行表示歉意。並且向所有支持我和監督我的朋友們表示感謝。","大家好，我是杜旭东。最近网友们在白某的庆生视频中看到了我的祝福片段。事情源于很久之前的朋友之托。当时碍于情面，便配合录制了这个视频，我也没有查证此人的身份背景。对此我深感自责。我接受网友们的批评和指正。我已经深刻的认识到这种行为怼社会带来了不良的影响。这种失察的错误，辜负了广大观众朋友怼我的喜爱和信任。我与所有人一样，非常的痛恨且强烈抵制棉被电信诈骗集团的这种非法的行为。
今后，我定将以此为戒，严于律己，约束自己的言行举止，继续做一个敬职敬责的好演员。并愿意为国家反诈宣传贡献自己的绵薄之力。请广大网友及观众朋友们监督。
最后，再次为我的不当言行表示歉意。并且向所有支持我和监督我的朋友们表示感谢。",https://baijiahao.baidu.com/s?id=1782888821235588203&wfr=spider&for=pc,,,,,
154,王刚,中国大陆,男,中国大陆,视频,11/27/2023,11/27/2023,蛋炒饭视频涉侮辱英烈,,,,网红厨师,各大平台,,"大家好，我是王剛。在影片的開頭，先跟大家珍重的道歉：對不起。今天同事在5點鐘的時候，發布了影片。這個影片對大家造成了非常大的困擾和很不好的體驗。在這裡，再次道歉：對不起。
這段時間，我在忙個人的事情，的確沒有參與到影片的發布，這是我最大的過失。在這裡，我向大家做兩個保證：在未來的日子裡， 第一，所有的影片我都親自發布；第二，作為廚師，以後再也不做蛋炒飯，也不拍蛋炒飯。在這裡，想請大家為我做一個見證。
其實，我外公在很小的時候，就常常灌輸我，做人要踏實的做事。我外公也是志工老兵。他在朝鮮待了六年。他在我心目中是非常神聖的聖人。我從小也有一個夢想，想當兵。我在17歲那年回來兵檢，因為背上有個疤，沒有過，我覺得這是我最大的遺憾。我的外公，他對我從小的要求就非常高。就是做人要坦坦蕩蕩。做錯了就承認並改正。其實在我心目中，軍人是無比的神聖、高大。在我的公司，跟我的同事，跟我最久的同事，他們其中一大部分都是軍人。是因為我覺得軍人能代表安全感，責任感和使命感。
今天這個事情，是我的錯，在此鄭重道歉：對不起。以後請大家監督我。
最後再次謝謝各位粉絲的指教與提醒，對不起！","大家好，我是王刚。在视频的开头，先跟大家珍重的道歉：对不起。今天同事在5点钟的时候，发布了视频。这个视频对大家造成了非常大的困扰和很不好的体验。在这里，再次道歉：对不起。
这段时间，我在忙个人的事情，的确没有参与到视频的发布，这是我最大的过失。在这里，我向大家做两个保证：在未来的日子里， 第一，所有的视频我都亲自发布；第二，作为厨师，以后再也不做蛋炒饭，也不拍蛋炒饭。在这里，想请大家给我做一个见证。
其实，我外公在很小的时候，就经常给我灌输，做人要踏踏实实的做事。我外公也是一名志愿老兵。他在朝鲜呆了六年。他在我心目中是非常神圣的圣人。我从小也有一个梦想，想当兵。我在17岁那年回来兵检，因为背上有个疤，没有过，我觉得这是我最大的遗憾。我的外公，他对我从小的要求就非常高。就是做人要坦坦荡荡。做错了就承认并改正。其实在我心目中，军人是无比的神圣、高大。在我的公司，跟我的同事，跟我最久的同事，他们其中一大部分人都是军人。是因为我觉得军人能代表安全感，责任感和使命感。
今天这个事情，是我的错，在此郑重道歉：对不起。以后请大家监督我。
最后再次谢谢各位粉丝的指教和提醒，对不起！",https://www.163.com/dy/article/IKNJ53D005563PN0.html,,,,,
155,孙东旭,中国大陆,男,中国大陆,视频,12/12/2023,12/14/2023,处理小作文风波不当,,,,企业家,抖音,,"今天我來向廣大網友道歉，前天我直播解釋東方甄選問題的時候，從神態語氣表達都有點咄咄逼人，把手機放在桌上的動作也好像摔下去的樣子，這種樣子非常沒有風度和氣度，讓廣大網友誤以為是十分不敬的粗暴行為，儘管是因為連續幾天沒有休息，內心焦慮導致的動作僵硬和失控，但這不是理由，我在這裡真誠道歉。

請大家相信我，不是故意的，以後一定認真改正，另外我也為提到董宇輝的薪酬這樣不職業的行為，向大家也向董宇輝表達歉意，同時我說東方甄選，拒絕飯圈文化，並不是說東方甄選的粉絲是飯圈，而是真心不希望少數人的不理性帶節奏，影響到東方甄選的健康環境，如果我的表達引起大家誤解，也向大家表示道歉。


網友粉絲是我們的衣食父母，我們一定更加努力為大家提供更加完善的服務，我會時時警醒告誡自己努力提升自己的格局和胸懷讓自己成為一個合格的管理者不辜負大家的厚愛和寬容謝謝大家。","今天我来向广大网友道歉，前天我直播解释东方甄选问题的时候，从神态语气表达都有点咄咄逼人，把手机放在桌上的动作也好像摔下去的样子，这种样子非常没有风度和气度，让广大网友误以为是十分不敬的粗暴行为，尽管是因为连续几天没有休息，内心焦虑导致的动作僵硬和失控，但这不是理由，我在这里真诚道歉。

请大家相信我，不是故意的，以后一定认真改正，另外我也为提到董宇辉的薪酬这样不职业的行为，向大家也向董宇辉表达歉意，同时我说东方甄选，拒绝饭圈文化，并不是说东方甄选的粉丝是饭圈，而是真心不希望少数人的不理性带节奏，影响到东方甄选的健康环境，如果我的表达引起大家误解，也向大家表示道歉。


网友粉丝是我们的衣食父母，我们一定更加努力为大家提供更加完善的服务，我会时时警醒告诫自己努力提升自己的格局和胸怀让自己成为一个合格的管理者不辜负大家的厚爱和宽容谢谢大家。",https://www.sohu.com/a/744165379_121345914#google_vignette,,,,,
156,俞敏洪,中国大陆,男,中国大陆,视频,12/12/2023,12/16/2023,处理小作文风波不当,,,,企业家,抖音,,"近階段來，由於網路輿情問題，東方甄選直播間用不恰當的方式，屏蔽拉黑了一些提意見和建議的網友朋友，這是極其不恰當的做法。我已經對於這一錯誤提出了嚴厲的批評，並就此事向廣大網友進行道歉!被拉黑的網友朋友已經被全部解除，歡迎你們繼續對東方甄選的發展提出建設性的意見和批評。相信我們會把東方甄選建得更好！感謝大家的包容與支持！
","近阶段来，由于网络舆情问题，东方甄选直播间用不恰当的方式，屏蔽拉黑了一些提意见和建议的网友朋友，这是极其不恰当的做法。我已经对于这一错误提出了严厉的批评，并就此事向广大网友进行道歉!被拉黑的网友朋友已经被全部解除，欢迎你们继续对东方甄选的发展提出建设性的意见和批评。相信我们会把东方甄选建设得更好！感谢大家的包容和支持！
",https://36kr.com/p/2560546701843588,,,,,
157,程前,中国大陆,男,中国大陆,视频,1/10/2024,1/10/2024,与嘉宾言语互怼,,,,网红,微博,,"很抱歉，大家。

本來是私下跟幾位前輩說抱歉的，但是這幾天網路上的新聞，讓我覺得我得公開說聲抱歉。讓大家失望了，回頭看這個錯誤，他自己都覺得是不可原諒的。

最近幾天每天都在反思，自己怎麼能犯下一個如此低級的錯誤。創業、做事，日復一日一直告訴自己，謙虛務實，如果以前設想在人生路上會犯一萬種錯誤，但是，打死也不會想到是會以這種方式。這麼的公開。我看到大家講，沒品、沒德行、沒修養、不專業，真的很抱歉，讓大家失望了。

我去看回放，跟大家的感受是一樣的。很難想像也很難承受，那個人就是自己。但是很遺憾，那就是我。因為當天下了台以後，幾個很好的朋友打電話問我，程前你這是吃錯藥了嗎。活動結束後，看到團隊，那一刻我也清醒了，因為從團隊眼神裡都讀出來，他們傻眼了。然後，合夥人哈哈一笑，拍拍我，「你今天失言了啊」。感謝團隊對我的理解與包容。

那天回到酒店後，我先是給幾位前輩發信息抱歉，尤其是對馮崙老師的歉意，他回复我說：“程前，你有你自己的堅持挺好的，誰還沒有年輕過。”感謝馮崙老師的寬慰與包容。

這幾天不斷的回看年終秀的回放內容，為什麼自己會有那麼大的情緒。是因為前半場活動內容跟你想的不一樣，還是因為你寫的演講稿上台念稿。這會兒來看沒有對錯。每個人都有自己的看法和堅持，但是，何至於惱羞成怒，失態失禮，甚至到人身攻擊呢，雖然這絕不是我的本意，但是回過頭看大家的評論和解讀，說我人身攻擊。其實我回看我自己都覺得是有這種因素的呀。這裡也向周鴻禕週總誠懇地說聲抱歉。這絕不是我的本意。

當然可能也不是簡簡單單地，我發個訊息就能夠表達歉意的。這些前輩都是我從小看著他們的各種新聞故事長大的。在創業路上其實一直都是自己的意識當中的目標，領路人，一直也影響著我自己。

所以，這些天是各種複雜的情緒吧。以前聽人家講，愚昧之巔，絕望之谷，開悟之坡。今天這個體會太深刻了，什麼是愚昧之巔。但你只能吸取教訓，再向前看，再向前走。我知道前面可能是一個錯誤再接著一個錯誤在等著我。不過我只是覺得身為一個晚輩，在這樣的場合，鬧的這麼一大通，讓大家看笑話是小，造成了極度不好的影響。這也違背了我做事情的初衷，更違背了創業的初衷。因為我們是希望自己可以不斷地發現、傳遞有正向價值和影響力的內容的。

2024年剛開年，就有這麼個開場，我自己也沒想到。我會回到我的工作上，把自己沒有做好的，我去把它做好。到現在我想對關心我的朋友們，說感謝大家的關心，我會繼續加油。這幾天不斷對我的問題進行指正的朋友，我想表達感謝，每一條評論信息我都認真吸收了。最後再次給幾位前輩致歉，再次表示歉意。","很抱歉，大家。

本来是私下跟几位前辈说抱歉的，但是这几天网上的新闻，让我觉得我得公开说声抱歉。让大家失望了，回过头看这个错误，他自己都觉得是不可原谅的。

最近几天每天都在反思，自己怎么能犯一个如此低级的错误。创业、做事，日复一日一直告诉自己，谦虚务实，如果以前设想在人生路上会犯一万种错误，但是，打死也不会想到是会以这种方式。这么的公开。我看到大家讲，没品、没德行、没修养、不专业，真的很抱歉，让大家失望了。

我去看回放，跟大家的感受是一样的。很难想象也很难承受，那个人就是自己。但是很遗憾，那就是我。因为当天下了台以后，几个很好的朋友打电话问我，程前你这是吃错药了吗。活动结束后，看到团队，那一刻我也就清醒了，因为从团队眼神里都能读出来，他们傻眼了。然后，合伙人哈哈一笑，拍拍我，“你今天失态了啊”。感谢团队对我的理解和包容吧。

那天回到酒店后，我先是给几位前辈发信息抱歉，尤其是对冯仑老师的歉意，他回复我说：“程前，你有你自己的坚持挺好的，谁还没有年轻过。”感谢冯仑老师的宽慰和包容。

这几天不断的回看年终秀的回放内容，为什么自己有那么大的情绪。是因为前半场活动内容跟你想的不一样，还是因为你写的演讲稿上台念稿。这会儿来看没有对错。每个人都有自己的看法和坚持，但是，何至于恼羞成怒，失态失礼，甚至到人身攻击呢，虽然这绝不是我的本意，但是回过头看大家的评论和解读，说我人身攻击。其实我回看我自己都觉得是有这种因素的呀。这里也向周鸿祎周总诚恳地说声抱歉。这绝不是我的本意。

当然可能也不是简简单单地，我发个信息就能够表达歉意的。这些前辈都是我从小看着他们的各种新闻故事长大的。在创业路上其实一直都是自己的意识当中的目标，领路人，一直也在影响着我自己。

所以，这些天是各种复杂的情绪吧。以前听人家讲，愚昧之巅，绝望之谷，开悟之坡。今天这个体会太深刻了，什么是愚昧之巅。但你只能吸取教训，再向前看，再向前走。我知道前面可能是一个错误再接着一个错误在等着我。不过我只是觉得作为一个晚辈，在这样的场合，闹的这么一大通，让大家看笑话是小，造成了极其不好的影响。这也违背了我做事情的初衷，更违背了我创业的初衷。因为我们是希望自己可以不断地发现、传递有正向价值和影响力的内容的。

2024年刚开年，就有这么个开场，我自己也没想到。我会回到我的工作上，把自己没有做好的，我去把它做好。到现在我想对关心我的朋友们，说感谢大家的关心，我会继续加油。这几天不断对我的问题进行指正的朋友，我想表达感谢，每一条评论信息我都认真吸收了。最后再次给几位前辈致歉，再次表示歉意。",https://finance.sina.cn/2024-01-11/detail-inacccqf5678940.d.html,,,,,
